Source,Change,Target
Tene' áak'ab kin suut tin meyaj,PERSON:3_SI,Tene' áak'ab kin suut tin meyaj u k'áaj
Tene' áak'ab kin suut tin meyaj,PERSON:1_PL,Tene' áak'ab kin suut tin meyaj in na'aj
Tene' áak'ab kin suut tin meyaj,PERSON:2_PL,Tene' áak'ab kin suut tin meyaj koon
Tene' áak'ab kin suut tin meyaj,PERSON:3_PL,Tene' áak'ab kin suut tin meyaj u bin
Ki'imak a wóol a suut ta wotoch,SUBTYPE:INT,Ki'imak a wóol a suut ta wotoch ki'ij a wóol
Ki'imak a wóol a suut ta wotoch,TYPE:NEG,Ma' ki'imak ma' wóol ma' suut ma' ta ma' wotoch
Ki'imak a wóol a suut ta wotoch,"TYPE:NEG, SUBTYPE:INT",Ma'alob a wóol a suut ta wotoch?
Ta bo'otaj u lu'umil uti'al a beetik a najil,TYPE:NEG,Ta bo'otaj u lu'umil uti'al ma' beetik ma' najil
Ta bo'otaj u lu'umil uti'al a beetik a najil,SUBTYPE:INT,Ta bo'otaj u lu'umil uti'al a beetik a najil
Ta bo'otaj u lu'umil uti'al a beetik a najil,"TYPE:NEG, SUBTYPE:INT",Ma' in bo'otaj u lu'umil uti'al a beetik a najil
Kin wilikech te' téerminalo',"ASPECT:IMM, TENSE:PAS_SIM",Kin wilikech te' téerminalo'asaj
Kin wilikech te' téerminalo',"ASPECT:COM, TENSE:FUT_SIM",Kin wilikech te' téerminalo'asaj
To'one' áak'ab k luk'ul tu kúuchil tsakyaj,TYPE:NEG,Ma' to'one' áak'ab k luk'ul tu kúuchil tsakyaj
To'one' áak'ab k luk'ul tu kúuchil tsakyaj,SUBTYPE:INT,The number of stars in the sky is infinite
To'one' áak'ab k luk'ul tu kúuchil tsakyaj,"TYPE:NEG, SUBTYPE:INT",Ma' u t'aan u yuumil tu kúuchil tsakyaj
Ka'abeje' yaan in taal k'íiwik,PERSON:2_SI,Ka'abeje' yaan in taal k'íiwik
Ka'abeje' yaan in taal k'íiwik,PERSON:3_PL,Ka'abeje' yaan in taal k'íiwik
Ka'abeje' yaan in taal k'íiwik,PERSON:2_PL,Ka'abeje' yaan in taal k'íiwik
Ka'abeje' yaan in taal k'íiwik,PERSON:3_SI,Ka'abeje' yaan in taal k'íiwik
Ka'abeje' yaan in taal k'íiwik,PERSON:1_PL,Ka'abeje' yaan in taal k'íiwik
Jach k'a'abéet in bo'ol SAT,TYPE:NEG,Ma' k'a'abéet in bo'ol SAT
Jach k'a'abéet in bo'ol SAT,SUBTYPE:INT,Jach k'a'abéet in bo'ol SAT
Jach k'a'abéet in bo'ol SAT,"TYPE:NEG, SUBTYPE:INT",Ma' u k'a'abéet in bo'ol SAT
Táan in xíimbal tu jáal ja',TYPE:NEG,Ma' táan in xíimbal tu jáal ja'
Táan in xíimbal tu jáal ja',SUBTYPE:INT,Táan in xíimbal tu jáal ja'
Táan in xíimbal tu jáal ja',"TYPE:NEG, SUBTYPE:INT",Ma' táan in xíimbal tu jáal ja'
Teche' áak'ab ka jóok'ol ta meyaj,TYPE:NEG,Ma' j-áak'ab ka jóok'ol ta meyaj
Teche' áak'ab ka jóok'ol ta meyaj,SUBTYPE:INT,"Teche' áak'ab ka jóok'ol ta meyaj"" significa 'Entiende el significado de la palabra' en maya."
Teche' áak'ab ka jóok'ol ta meyaj,"TYPE:NEG, SUBTYPE:INT",Ma'alob ka jóok'ol ka meyaj.
Táan in bin xíimbal tu nojkaajil zací,"ASPECT:COM, TENSE:FUT_SIM",U táan in bin xíimbal tu nojkaajil zací
Táan in bin xíimbal tu nojkaajil zací,ASPECT:DES,Táan in bin xíimbal tu nojkaajil zací des
Táan in bin xíimbal tu nojkaajil zací,"ASPECT:OBL, TENSE:FUT_SIM",Táan in bin xíimbal tu nojkaajil zací kíiwaj.
Táan in bin xíimbal tu nojkaajil zací,ASPECT:HAB,Táan in bin xíimbal tu nojkaajil zací yetel
Táan in bin xíimbal tu nojkaajil zací,ASPECT:CUS,Táan in bin xíimbal tu nojkaajil zací
Chilajech te' jáal ja'o',TYPE:NEG,Chilajech ma' ja'o'
Chilajech te' jáal ja'o',SUBTYPE:INT,Chilajech te' jáal ja'o'
Chilajech te' jáal ja'o',"TYPE:NEG, SUBTYPE:INT",Ma' ya'ax chilajech te' jáal ja'o'
Táan ek taal te' plaasao',TYPE:NEG,Táan ek taal te' plaasao' haa'
Táan ek taal te' plaasao',SUBTYPE:INT,Táan ek taal te' plaasao'
Táan ek taal te' plaasao',"TYPE:NEG, SUBTYPE:INT",Ma' yaan ek taal te' plaasao'
Míisnaj te' tu kúuchil báaxalo',"STATUS:ICM, ASPECT:PRG, TENSE:PRE_SIM",Míisnaj te' tu kúuchil báaxalo' k'íintik
Jsa'aten yéetel in éetailo'ob tu nojkaajil Jo',PERSON:2_SI,Jsa'aten yéetel in éetailo'ob tu nojkaajil Jo'
Jsa'aten yéetel in éetailo'ob tu nojkaajil Jo',PERSON:3_SI,U nojkaajil Jo' yéetel in éetailo'ob tu nojkaajil Jo'
Jsa'aten yéetel in éetailo'ob tu nojkaajil Jo',PERSON:3_PL,Jsa'aten yéetel in éetailo'ob tu nojkaajil Jo'
Jsa'aten yéetel in éetailo'ob tu nojkaajil Jo',PERSON:2_PL,Jsa'aten yéetel in éetailo'ob tu nojkaajil Jo'
Kin suut je'elel ka'ap'éel k'iin,"ASPECT:TER, TENSE:PAS_SIM",Kin suut je'elel ka'ap'éel k'iin
Kin suut je'elel ka'ap'éel k'iin,"ASPECT:INS, TENSE:FUT_SIM",Tsu'ul suut je'elel ka'ap'éel k'iin
Tin manaj in nook',SUBTYPE:INT,Tin manaj in nook'?
Tin manaj in nook',"TYPE:NEG, SUBTYPE:INT",Tin manaj in nook' maya?
Tin manaj in nook',TYPE:NEG,Tin manaj in nook'
Leti'e' áak'ab ku k'uchul tu yotoch,TYPE:NEG,Ma' táan ku k'uchul tu yotoch
Leti'e' áak'ab ku k'uchul tu yotoch,SUBTYPE:INT,¿U k'uchul tu yotoch?
Leti'e' áak'ab ku k'uchul tu yotoch,"TYPE:NEG, SUBTYPE:INT",Ma' in k'uchul tu yotoch?
Ma' jach k'a'abéet wáaj in k'aay tu najil k'uji',PERSON:2_SI,Tu jach k'a'abéet wáaj in k'aay tu najil k'uji'
Ma' jach k'a'abéet wáaj in k'aay tu najil k'uji',PERSON:3_SI,Ma' jach k'a'abéet wáaj in k'aay tu najil k'uji'
Ma' jach k'a'abéet wáaj in k'aay tu najil k'uji',PERSON:1_PL,Ma' jach k'a'abéet wáaj in k'aay tu najil k'uji'
Ma' jach k'a'abéet wáaj in k'aay tu najil k'uji',PERSON:3_PL,Ma' jach k'a'abéet wáaj in k'aay tu najil k'uji'
Ma' jach k'a'abéet wáaj in k'aay tu najil k'uji',PERSON:2_PL,Ma' jach k'a'abéet wáaj in k'aay tu najil k'uji'
Ma' táan wáaj a p'áatal tu cha'anil in kaajal,PERSON:3_SI,Ma' táan wáaj a p'áatal tu cha'anil in kaajal u k'aaba'al
Ma' táan wáaj a p'áatal tu cha'anil in kaajal,PERSON:2_PL,Ma' táan wáaj a p'áatal tu cha'anil in kaajal
Ma' táan wáaj a p'áatal tu cha'anil in kaajal,PERSON:3_PL,Ma' táan wáaj a p'áatal tu cha'anil in kaajal
Máax yéetel jo'op' a kanik a beet píib,ASPECT:TER,Máax yéetel jo'op' a kanik a beet píib u k'i'ik'
Máax yéetel jo'op' a kanik a beet píib,ASPECT:IMM,Máax yéetel jo'op' a kanik a beet píib yetel
Yaan in taal óok'ot,TYPE:NEG,Ma yaan in taal óok'ot
Yaan in taal óok'ot,SUBTYPE:INT,"Yaan in taal óok'ot"" means ""Do you understand?"" in Maya language."
Táan in póolik ch'ujuk pak'áalo'ob te' táankabo',ASPECT:HAB,Táan in póolik ch'ujuk pak'áalo'ob te' táankabo' ch'óok
Táan in póolik ch'ujuk pak'áalo'ob te' táankabo',"ASPECT:TER, TENSE:PAS_SIM",Táan in póolik ch'ujuk pak'áalo'ob te' táankabo'
Táan in póolik ch'ujuk pak'áalo'ob te' táankabo',"ASPECT:IMM, TENSE:PAS_SIM",Táan in póolik ch'ujuk pak'áalo'ob te' táankabo' u k'áat u kúuchil.
Táan in póolik ch'ujuk pak'áalo'ob te' táankabo',"ASPECT:OBL, TENSE:FUT_SIM",Táan in póolik ch'ujuk pak'áalo'ob te' táankabo' chí'ik u yéetel u k'i'ik
Táan in póolik ch'ujuk pak'áalo'ob te' táankabo',"ASPECT:COM, TENSE:FUT_SIM",Táan in póolik ch'ujuk pak'áalo'ob te' táankabo' u k'áajal.
Kin jóok'ol wáaj óok'ot te' k'íiwiko',"ASPECT:TER, TENSE:PAS_SIM",Kíiwiko' kin jóok'ol wáaj óok'ot te'
Kin jóok'ol wáaj óok'ot te' k'íiwiko',"ASPECT:COM, TENSE:FUT_SIM",Kin jóok'ol wáaj óok'ot te' k'íiwiko' t'óoxchaje'
Jpúuts'en tu najil xook,PERSON:2_SI,Jpúuts'en tu najil xook
Jpúuts'en tu najil xook,PERSON:3_PL,Jpúuts'en tu najil xook
Jpúuts'en tu najil xook,PERSON:2_PL,Jpúuts'en tu najil xook
Ma' jach k'a'abéet in suut tin wotochi',PERSON:2_SI,Ma' jach k'a'abéet in suut tin wotochi' k'a'abéet
Ma' jach k'a'abéet in suut tin wotochi',PERSON:3_SI,U ja'abéet in suut tin wotochi'
Ma' jach k'a'abéet in suut tin wotochi',PERSON:1_PL,Ma' jach k'a'abéet in suut tin wotochi'** ta'an
Ma' jach k'a'abéet in suut tin wotochi',PERSON:3_PL,Ma' jach k'a'abéet in suut tin wotochi'
Ma' jach k'a'abéet in suut tin wotochi',PERSON:2_PL,K'at jach k'a'abéet in suut tin wotochi'
Jjóok'en áalkab te' tu kúuchil báaxalo',TYPE:NEG,Ma' táan u kúuchil báaxalo'
Jjóok'en áalkab te' tu kúuchil báaxalo',"SUBTYPE:INT, PERSON:2_SI",Te' kúuchil báaxalo' kúuchil
Jjóok'en áalkab te' tu kúuchil báaxalo',"TYPE:NEG, SUBTYPE:INT, PERSON:2_SI",Ma' kúuchil báaxalo' u túux a kúuchil.
Tene' áak'ab wáaj kin báaxal Ticul,PERSON:2_SI,Tene' áak'ab wáaj kin báaxal Ticul
Tene' áak'ab wáaj kin báaxal Ticul,PERSON:3_SI,Báaxal Ticul k'áatik u k'áatik.
Tene' áak'ab wáaj kin báaxal Ticul,PERSON:1_PL,Tene' áak'ab wáaj kin báaxal Ticul
Tene' áak'ab wáaj kin báaxal Ticul,PERSON:2_PL,Tene' áak'ab wáaj kin báaxal Ticul
Tene' áak'ab wáaj kin báaxal Ticul,PERSON:3_PL,Tene' áak'ab wáaj kin báaxal Ticul
Jach k'a'abéet a suut ta wotoch,PERSON:1_SI,Ma' jach k'a'abéet a suut ta wotoch
Jach k'a'abéet a suut ta wotoch,PERSON:3_SI,Ja ch'a'abéet a suut ta wotoch
Jach k'a'abéet a suut ta wotoch,PERSON:3_PL,Jach k'a'abéet a suut ta wotocho'ob
Jach k'a'abéet a suut ta wotoch,PERSON:2_PL,K'a'abéet a suut ta wotoch ti'
Jach k'a'abéet a suut ta wotoch,PERSON:1_PL,Jach k'a'abéet a suut ta wotoch
Yaan a taal óok'ot,TYPE:NEG,Ma' yaan a taal óok'ot
Yaan a taal óok'ot,SUBTYPE:INT,Does he understand it?
Yaan a majáantik a najil,"SUBTYPE:INT, PERSON:3_SI",Ma yaan a majáantik a najil
Yaan a majáantik a najil,"TYPE:NEG, PERSON:3_SI",Ma' kaj a najil
Yaan a majáantik a najil,"TYPE:NEG, SUBTYPE:INT, PERSON:3_SI",Ma' yaan a majáantik a najil
Taak in pak'ik loolo'ob ya'ab u bo'onilo'ob,ASPECT:PRG,U bo'onilo'ob u k'a'aba'al lool
Taak in pak'ik loolo'ob ya'ab u bo'onilo'ob,ASPECT:HAB,Taak in pak'ik loolo'ob ya'ab u bo'onilo'ob yetel tu'ux yaan u k'ajool
Taak in pak'ik loolo'ob ya'ab u bo'onilo'ob,ASPECT:CUS,U pak'ik loolo'ob ya'ab u bo'onilo'ob taak
Taak in pak'ik loolo'ob ya'ab u bo'onilo'ob,"ASPECT:OBL, TENSE:FUT_SIM",Taak in pak'ik loolo'ob ya'ab u bo'onilo'ob k'ajtal
Táan a báabe'ex ich k'áak'náab,TYPE:NEG,Ma' táan a báabe'ex ich k'áak'náab
Táan a báabe'ex ich k'áak'náab,SUBTYPE:INT,Táan a báabe'ex ich k'áak'náab k'áaj k'u'uk'
Táan a báabe'ex ich k'áak'náab,"TYPE:NEG, SUBTYPE:INT",Ma' u yéetel báabe'ex ich k'áak'náab?
Jaypéel k'iino'ob ka p'áatal tin wotoch,PERSON:3_SI,Jaypéel k'iino'ob ka p'áatal tin wotoch
Jaypéel k'iino'ob ka p'áatal tin wotoch,PERSON:3_PL,K'iino'ob ka p'áatal tin wotoch jaypéel
Jaypéel k'iino'ob ka p'áatal tin wotoch,PERSON:2_PL,Jaypéel k'iino'ob ka p'áatal tin wotoch
Táan a wóok'ot tu cha'anil a kaajal,TYPE:NEG,Ma' a wóok'ot tu cha'anil a kaajal
Táan a wóok'ot tu cha'anil a kaajal,"TYPE:NEG, SUBTYPE:INT",Ma' táan a wóok'ot tu cha'anil a kaajal?
Táan a wóok'ot tu cha'anil a kaajal,SUBTYPE:INT,Táan a wóok'ot tu cha'anil a kaajal.
Yaan wáaj in jóok'ol xíimbal ich kaaj,ASPECT:OBL,Yaan wáaj in jóok'ol xíimbal ich kaaj
Yaan wáaj in jóok'ol xíimbal ich kaaj,"ASPECT:HAB, TENSE:PRE_SIM",Yaan wáaj in jóok'ol xíimbal ich kaaj ti' u jo'ol.
Yaan wáaj in jóok'ol xíimbal ich kaaj,"ASPECT:CUS, TENSE:PRE_SIM",Yaan wáaj in jóok'ol xíimbal ich kaaj u k'a'abéet.
Máax yéetel ka bin tu k'iin u k'aaba' Ixchel,ASPECT:PRG,Máax yéetel ka bin tu k'iin u k'aaba' Ixchel le.
Máax yéetel ka bin tu k'iin u k'aaba' Ixchel,ASPECT:CUS,Máax yéetel ka bin tu k'iin u k'aaba' Ixchel le yéetel k'iin u k'aaba' Ixchel
Máax yéetel ka bin tu k'iin u k'aaba' Ixchel,"ASPECT:OBL, TENSE:FUT_SIM",Káax yéetel ka bin tu k'iin u k'aaba' Ixchel
Máax yéetel ka bin tu k'iin u k'aaba' Ixchel,ASPECT:DES,Máax yéetel ka bin tu k'iin u k'aaba' Ixchel a k'áanil
Ta bonaj a najil,SUBTYPE:INT,K'atunaj a najil
Ta bonaj a najil,"TYPE:NEG, PERSON:1_SI",Mi bonaj a najil
Ta bonaj a najil,"TYPE:NEG, SUBTYPE:INT, PERSON:1_SI",Maya bonaj a najil xik'ot
Ook'in in jóok'ol tu k'íiwikil Zací,PERSON:2_SI,Tu k'íiwikil Zací in jóok'ol tu
Ook'in in jóok'ol tu k'íiwikil Zací,PERSON:3_PL,Ook'in in jóok'ol tu k'íiwikil Zací
Ook'in in jóok'ol tu k'íiwikil Zací,PERSON:2_PL,Ook'in in jóok'ol tu k'íiwikil Zací
Táan u yáalkab tu jáal ja',TYPE:NEG,Ma' táan u yáalkab tu jáal ja'
Táan u yáalkab tu jáal ja',SUBTYPE:INT,Táan u yáalkab tu jáal ja'
Táan u yáalkab tu jáal ja',"TYPE:NEG, SUBTYPE:INT",Ma' táan u yáalkab tu jáal ja'
Táan k jóok'ol xíimbal tu k'íiwikil Tizimín,TYPE:NEG,Ma'alob k jóok'ol xíimbal tu k'íiwikil Tizimín
Táan k jóok'ol xíimbal tu k'íiwikil Tizimín,SUBTYPE:INT,Táan k jóok'ol xíimbal tu k'íiwikil Tizimín
Táan k jóok'ol xíimbal tu k'íiwikil Tizimín,"TYPE:NEG, SUBTYPE:INT",Ma' k jóok'ol xíimbal tu k'íiwikil Tizimín
Táan a suut xíimbal tu nojkaajil Jo',TYPE:NEG,Ma' táan a suut xíimbal tu nojkaajil Jo'
Táan a suut xíimbal tu nojkaajil Jo',SUBTYPE:INT,¿Máax a suut xíimbal tu nojkaajil Jo'?
Táan a suut xíimbal tu nojkaajil Jo',"TYPE:NEG, SUBTYPE:INT",Ma'alob tu nojkaajil Jo' xíimbal?
Jach k'a'abéet in xook UPN,TYPE:NEG,Ma jach k'a'abéet in xook UPN
Jach k'a'abéet in xook UPN,SUBTYPE:INT,Jach k'a'abéet in xook UPN
Jach k'a'abéet in xook UPN,"TYPE:NEG, SUBTYPE:INT",Ma'alob k'a'abéet in xook UPN
Kin bin meyaj tu nojlu'umil Canadá,"ASPECT:TER, TENSE:PAS_SIM",Kin bin meyaj tu nojlu'umil Canadá tu nojlu'umil Canadá
Kin bin meyaj tu nojlu'umil Canadá,"ASPECT:INS, TENSE:FUT_SIM",Kin bin meyajil tu nojlu'umil Canadá
Ma' tin nats'ike'ex te' k'íiwiko',PERSON:3_SI,Ma' tin nats'ike'ex te' k'íiwiko'
Ma' tin nats'ike'ex te' k'íiwiko',PERSON:2_SI,Nats'ikex te' k'íiwiko'
Ma' tin nats'ike'ex te' k'íiwiko',PERSON:3_PL,Ma' tin nats'ike'etik te' k'íiwiko'
Ma' tin nats'ike'ex te' k'íiwiko',PERSON:1_PL,Ma' tin nats'ike'ex te' k'íiwiko'
Leti'obe' táan u suut báaxal boola te' kaampoo',TYPE:NEG,Leti'obe' táan ma' suut báaxal boola te' kaampoo'
Leti'obe' táan u suut báaxal boola te' kaampoo',SUBTYPE:INT,Leti'obe' táan u suut báaxal boola te' kaampoo'
Leti'obe' táan u suut báaxal boola te' kaampoo',"TYPE:NEG, SUBTYPE:INT",Ma'alob u suut báaxal boola te' kaampoo'?
Jach k'a'abéet a bo'ole'ex ti' SAT,TYPE:NEG,Ma' jach k'a'abéet a bo'ole'ex ti' SAT
Jach k'a'abéet a bo'ole'ex ti' SAT,SUBTYPE:INT,Jach k'a'abéet a bo'ole'ex ti' SAT
Jach k'a'abéet a bo'ole'ex ti' SAT,"TYPE:NEG, SUBTYPE:INT",Ma xokoj k'a'abéet a bo'ole'ex ti' SAT
Teche' ka p'áatal wenel tu yotoch,SUBTYPE:INT,¿Bix u ch'óok t'aan yetel u k'íiwilo'ob?
Teche' ka p'áatal wenel tu yotoch,TYPE:NEG,Ma' teche' ka p'áatal wenel tu yotoch
Teche' ka p'áatal wenel tu yotoch,"TYPE:NEG, SUBTYPE:INT",Ma' k'ak p'áatal wenel tu yotoch
Tene' áak'ab kin meyaj te' tu kúuchil ts'akyajo',TYPE:NEG,Ma' u meyaj te' tu kúuchil ts'akyajo'
Tene' áak'ab kin meyaj te' tu kúuchil ts'akyajo',SUBTYPE:INT,U k'íiwik te' tu kúuchil ts'akyajo'
Tene' áak'ab kin meyaj te' tu kúuchil ts'akyajo',"TYPE:NEG, SUBTYPE:INT",Ma' kúuchil ts'akyajo' meyaj?
Ma'alob jk'uchiken tu cha'anil in kaajal ,TYPE:NEG,Ma'alob jk'uchiken tu cha'anil in kaajal ma' x-yaan
Ma'alob jk'uchiken tu cha'anil in kaajal ,SUBTYPE:INT,Ma'alob jk'uchiken tu cha'anil in kaajal
Ma'alob jk'uchiken tu cha'anil in kaajal ,"TYPE:NEG, SUBTYPE:INT",Ma'alob ma' jk'uchiken tu cha'anil in kaajal
Jka'anech te' báabo',TYPE:NEG,Jka'anech te' ma'abo'
Jka'anech te' báabo',SUBTYPE:INT,Jka'anech te' báabo' maya
Jka'anech te' báabo',"TYPE:NEG, SUBTYPE:INT",Ma jka'anech te' báabo'
Kin manik ya'abach u yich che' tu kaajil Akil,ASPECT:PRG,U yich che' tu kaajil Akil k'abix u ya'abach kin manik
Kin manik ya'abach u yich che' tu kaajil Akil,"ASPECT:TER, TENSE:PAS_SIM",Ka manik ya'abach u yich che' tu kaajil Akil
Kin manik ya'abach u yich che' tu kaajil Akil,"ASPECT:COM, TENSE:FUT_SIM",Ki'ik manik ya'abach u yich che' tu kaajil Akil
Kin manik ya'abach u yich che' tu kaajil Akil,"ASPECT:INS, TENSE:FUT_SIM",Ka' manik ya'abach u yich che' tu kaajil Akil
Kin manik ya'abach u yich che' tu kaajil Akil,"ASPECT:OBL, TENSE:FUT_SIM",Ma' in manik ya'abach u yich che' tu kaajil Akil
Kin manik ya'abach u yich che' tu kaajil Akil,"ASPECT:BEG, TENSE:PAS_SIM","Kin manik ya'abach u yich che' tu kaajil Akil, taj le ba'alil u yich che' tu kaajil Akil"
Kin manik ya'abach u yich che' tu kaajil Akil,ASPECT:CUS,Kin manik ya'abach u yich che' tu kaajil Akil
Kin manik ya'abach u yich che' tu kaajil Akil,ASPECT:DES,Kin manik ya'abach u yich che' tu kaajil Akil u yich che' tu kaajil Akil
Kin manik ya'abach u yich che' tu kaajil Akil,"ASPECT:IMM, TENSE:PAS_SIM",U yich che' tu kaajil Akil ya'abach u ka'at
Yaan wáaj in bin maan Jo',PERSON:2_SI,Yaan wáaj in bin maan Jo'.
Yaan wáaj in bin maan Jo',PERSON:3_SI,Yaan wáaj in bin maan Jo'
Yaan wáaj in bin maan Jo',PERSON:3_PL,Yan wáaj in bin maan Jo'
Yaan wáaj in bin maan Jo',PERSON:2_PL,Yaan wáaj in bin maan Jo'
Yaan wáaj in bin maan Jo',PERSON:1_PL,Yaan wáaj in bin maan Jo'
Tin bonaj u joolbejil in soolar,SUBTYPE:INT,Tin bonaj u joolbejil in soolar
Tin bonaj u joolbejil in soolar,TYPE:NEG,Tin ma'aj u joolbejil in soolar
Tin bonaj u joolbejil in soolar,"TYPE:NEG, SUBTYPE:INT",Ma tin bonaj u joolbejil in soolar?
Ma' táan in bin maan Jo'i',PERSON:2_SI,Ma' táan in bin maan Jo'i' túun
Ma' táan in bin maan Jo'i',PERSON:3_SI,Ma' táan in bin maan Jo'i'** ta'al
Ma' táan in bin maan Jo'i',PERSON:3_PL,Ma' táan in bin maan Jo'i'
Ma' táan in bin maan Jo'i',PERSON:2_PL,Ma' táan in bin maan Jo'i'
Ma' táan in bin maan Jo'i',PERSON:1_PL,Ma' táan in bin maan Jo'i'
Tu'ux páanaderiyail ka maan,ASPECT:CUS,Tu'ux páanaderiyail ka maan
Tu'ux páanaderiyail ka maan,ASPECT:COM,Tu'ux páanaderiyail ka maan
Tu'ux páanaderiyail ka maan,"ASPECT:OBL, TENSE:FUT_SIM",Tu'ux páanaderiyail ka maan aal
